Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
CTI60,-73.321035,41.792652,1673.2507446125085,1966.1662019299697,17.444978412768574,19.756931418291842
CTI61,-72.468274,41.610088,1690.0206360648324,1916.9996777801302,1.9181497761607211,2.4048178274079497
DEM59,-75.587626,39.559071,1318.1756659436417,1412.987411952533,6.00044650962087,5.313560151930492
FLC54,-83.741455,30.519032,637.9117484346419,754.3582228678927,0.12015401592528732,0.10091574396043584
FLC55,-83.033998,30.441131,639.075173248017,784.9959611464423,0.34290085285503863,0.2606129837276829
FLC56,-82.272538,30.479429,640.048910041461,nan,0.45166835996884724,0.362970796375327
FLC57,-81.498683,30.470045,637.2374766224232,714.0089304808712,0.2583883461774195,0.2321794393742505
FTL57,-76.773847,40.454205,1233.013212004622,1497.4687340481485,0.23918763285672726,0.19171647503105943
GAA52,-84.911526,32.064904,640.3775501615,711.3937428972694,0.37729627127747967,0.44513581703628335
GAA53,-83.946993,31.904132,652.0877048333939,737.3688097627642,0.34818222387868936,0.4019015591363052
GAA54,-83.281681,31.888699,659.4157387979179,750.6938625515303,0.6996229303910929,0.5282371117751723
GAA55,-82.499463,31.789419,664.3358664613824,772.4537688363508,0.6125096946921371,0.4429392129505012
GAA56,-81.837059,31.681602,664.9659812617897,761.988495552448,0.6299025255502708,0.5656014476135318
GAB53,-84.428789,31.45358,642.077358519916,742.6873534682359,0.18491605026197053,0.16815814826515038
GAB54,-83.528057,31.191487,647.7453644085597,774.132425472826,0.2919802857491006,0.23834160481226932
GAB55,-82.748593,31.137504,651.4399684142799,743.0249120190927,0.38420215908926664,0.31878041256640466
GAB56,-81.917916,31.087835,652.1706057390444,798.8815417615668,0.45881088708573353,0.3897773385890775
GAB57,-81.422907,31.077733,651.0350563764184,739.7805426039026,0.6720168170918935,0.5435805104592547
GAW50,-85.374215,34.688985,620.4918260175298,684.9407627564609,0.0663226448426708,0.07048504283115695
GAW53,-83.07164,34.496944,741.6333711985162,778.1183043278692,4.147728206703961,3.634201970859796
GAX51,-84.938177,34.014823,638.6094983703293,672.4653368619971,0.8183851160717432,0.9261972194449357
GAX53,-83.269145,33.777935,676.6600495532147,742.1698878687718,1.5839412799534514,1.623600081370257
GAX54,-82.606757,33.791272,706.1701802431421,775.8568996845557,1.4633981030325403,1.543990353252131
